web_name , team_name    , position_code, now_cost, ep_next_3gw        , total_points, form, xG                 , xA
Calafiori, Arsenal      , DEF          ,       57, 39.127228047551405 ,           28,  9.3, 1.2178809493780136 , 0.34801778197288513
Chalobah , Chelsea      , DEF          ,       51, 23.619290849338856 ,           27,  9.0, 0.8270721584558487 , 0.0
Virgil   , Liverpool    , DEF          ,       60, 14.383175700102651 ,           14,  4.7, 0.33563756942749023, 0.0
Ballard  , Sunderland   , DEF          ,       46, 11.77784723924109  ,           18,  6.0, 0.10792046040296555, 0.5299577713012695
De Ligt  , Man Utd      , DEF          ,       50, 10.994299698883797 ,           12,  4.0, 0.2582719549536705 , 0.1362403780221939
Haaland  , Man City     , FWD          ,      141, 96.40371821632056  ,           24,  8.0, 3.6530365645885468 , 0.36525797843933105
Ekitiké  , Liverpool    , FWD          ,       88, 39.37276887622176  ,           22,  7.3, 1.223726212978363  , 0.23969341069459915
Wood     , Nott'm Forest, FWD          ,       77, 28.75451364392475  ,           17,  5.7, 1.0468871891498566 , 0.09181983023881912
Raya     , Arsenal      , GK           ,       55,  4.781577059960373 ,           18,  6.0, 0.0                , 0.0
Petrović , Bournemouth  , GK           ,       45,  3.6733857827148886,           13,  4.3, 0.0                , 0.0
Semenyo  , Bournemouth  , MID          ,       74, 65.00068886125801  ,           23,  7.7, 2.6559833884239197 , 0.2671510726213455
Enzo     , Chelsea      , MID          ,       66, 56.14658310199005  ,           25,  8.3, 1.9553580284118652 , 0.6590782515704632
Gakpo    , Liverpool    , MID          ,       77, 27.73430315462568  ,           20,  6.7, 0.3297184221446514 , 0.9115164950489998
Anderson , Nott'm Forest, MID          ,       55, 21.88743556741733  ,           10,  3.3, 0.4390091113746166 , 0.5665818452835083
Stach    , Leeds        , MID          ,       50, 18.044957979021387 ,           13,  4.3, 0.5719958692789078 , 0.5394252836704254
